# Model points from last mfit plot
#            Baseline /M\gl       Squared visibility
                  54.838192                 0.003680
                  42.960735                 0.002368
                  49.494022                 0.003476
                  59.032257                 0.001924
                 104.172066                 0.000017
                  77.285759                 0.000527
                  54.199181                 0.003948
                  43.300175                 0.002471
                  48.947701                 0.003303
                  58.833942                 0.002004
                 102.982140                 0.000036
                  77.082062                 0.000548
                  53.420895                 0.004138
                  43.591522                 0.002625
                  48.318554                 0.003063
                  58.241047                 0.002226
                 101.570892                 0.000064
                  76.954681                 0.000560
                  52.535713                 0.004192
                  43.816315                 0.002824
                  47.635223                 0.002794
                  57.259731                 0.002535
                  99.999718                 0.000090
                  76.911102                 0.000564
                  51.579369                 0.004084
                  43.957428                 0.003066
                  46.928112                 0.002538
                  55.900337                 0.002820
                  98.335167                 0.000099
                  76.953873                 0.000560
                  50.590477                 0.003836
                  43.999371                 0.003354
                  46.228672                 0.002331
                  54.177551                 0.002937
                  96.647774                 0.000086
                  77.080490                 0.000548
                  49.609787                 0.003517
                  43.928532                 0.003697
                  45.568439                 0.002196
                  52.110622                 0.002872
                  95.010269                 0.000060
                  77.283516                 0.000527
                  48.679073                 0.003208
                  43.733379                 0.004108
                  44.977856                 0.002132
                  49.723759                 0.003045
                  93.495270                 0.000041
                  77.550926                 0.000498
                  47.839634                 0.002974
                  43.404583                 0.004595
                  44.484871                 0.002124
                  47.046764                 0.004285
                  92.172226                 0.000036
                  77.866653                 0.000462
                  47.130363                 0.002834
                  42.935131                 0.005158
                  44.113426                 0.002145
                  44.116055                 0.006592
                  91.103958                 0.000043
                  78.211304                 0.000420
                  46.585518                 0.002772
                  42.320435                 0.005765
                  43.881973                 0.002170
                  40.976265                 0.007888
                  90.342827                 0.000053
                  78.562950                 0.000374
                  46.232368                 0.002755
                  41.558411                 0.006345
                  43.802197                 0.002181
                  37.682896                 0.006376
                  89.927101                 0.000059
                  78.897972                 0.000328
                  46.089081                 0.002753
                  40.649578                 0.006780
                  43.878162                 0.002170
                  34.306496                 0.003888
                  89.878082                 0.000060
                  79.191879                 0.000285
                  46.163128                 0.002754
                  39.597164                 0.006927
                  44.106003                 0.002145
                  30.939381                 0.003149
                  90.198280                 0.000055
                  79.420097                 0.000247
                  46.450638                 0.002763
                  38.407257                 0.006675
                  44.474201                 0.002124
                  27.705679                 0.006396
                  90.871262                 0.000046
                  79.558708                 0.000213
                  46.936733                 0.002807
                  37.089001                 0.006014
                  44.964470                 0.002132
                  24.774500                 0.016851
                  91.862991                 0.000037
                  79.585052                 0.000184
                  47.596851                 0.002919
                  35.654842                 0.005086
                  45.552975                 0.002194
                  22.370356                 0.030618
                  93.124496                 0.000038
                  79.478310                 0.000158
                  48.398712                 0.003124
                  34.120911                 0.004141
                  46.211853                 0.002327
                  20.761011                 0.038787
                  94.595345                 0.000054
                  79.219948                 0.000133
                  49.304649                 0.003413
                  32.507481                 0.003457
                  46.910709                 0.002532
                  20.190222                 0.040671
                  96.207481                 0.000079
                  78.794128                 0.000109
